accuracy,precision,recall,f1_score,model
0.825,0.8231481481481481,0.825,0.823361469712016,FinBERT Tuned
0.9,0.9135416666666666,0.9,0.9020588235294118,FinBERT Tuned
0.85,0.85,0.85,0.85,FinBERT Tuned
0.925,0.9326315789473686,0.925,0.9259318141671085,FinBERT Tuned
0.95,0.95,0.95,0.95,FinBERT Tuned
0.875,0.88125,0.875,0.8722222222222221,FinBERT Tuned
0.775,0.8132440476190477,0.775,0.7746010031919744,FinBERT Tuned
0.9,0.9033333333333335,0.9,0.9001792114695342,FinBERT Tuned
0.825,0.865340909090909,0.825,0.8247683688860159,FinBERT Tuned
0.8,0.8066666666666666,0.8,0.8016283524904214,FinBERT Tuned
